Name,Category,Phone,City,State,License Number,Why Kept
"Capozzi’s Auto Sales & Salvage, Inc.",Motor Vehicle Dealer (general),,Coventry,RI,439,State-licensed dealer - Sep 13 push
Caravan Auto,Motor Vehicle Dealer (general),,Cranston,RI,625,State-licensed dealer - Sep 13 push
Car Connections Auto Sales,Motor Vehicle Dealer (general),,Newport,RI,644,State-licensed dealer - Sep 13 push
Carlos’ Auto Sales and Service,Motor Vehicle Dealer (general),,Pawtucket,RI,316,State-licensed dealer - Sep 13 push
CarMax,Motor Vehicle Dealer (general),,Cranston,RI,169,State-licensed dealer - Sep 13 push
"Carr’s Garage, Inc.",Motor Vehicle Dealer (general),,Cumberland,RI,588,State-licensed dealer - Sep 13 push
Cars Unlimited,Motor Vehicle Dealer (general),,Cumberland,RI,512,State-licensed dealer - Sep 13 push
"Cartex Auto Sales, LLC",Motor Vehicle Dealer (general),,Pawtucket,RI,643,State-licensed dealer - Sep 13 push
"Casale Auto Sales and Auto Body, Inc.",Motor Vehicle Dealer (general),,Johnston,RI,90,State-licensed dealer - Sep 13 push
Cerroni’s Auto Sales,Motor Vehicle Dealer (general),,Smithfield,RI,517,State-licensed dealer - Sep 13 push
Certified Auto Sales & Service,Motor Vehicle Dealer (general),,North Providence,RI,470,State-licensed dealer - Sep 13 push
"Champion Collision & Sales, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,717,State-licensed dealer - Sep 13 push
"Chestnut Hill Truck and Auto Sales, LLC",Motor Vehicle Dealer (general),,Cranston,RI,86,State-licensed dealer - Sep 13 push
Chiqui Auto Sales & Muffler,Motor Vehicle Dealer (general),,Central Falls,RI,310,State-licensed dealer - Sep 13 push
"Christopher Motors, Inc.",Motor Vehicle Dealer (general),,Warwick,RI,768,State-licensed dealer - Sep 13 push
Christy’s Auto Sales Inc.,Motor Vehicle Dealer (general),,Johnston,RI,250,State-licensed dealer - Sep 13 push
City Limit Auto Sales,Motor Vehicle Dealer (general),,Johnston,RI,617,State-licensed dealer - Sep 13 push
"Class Act Motors, Inc.",Motor Vehicle Dealer (general),,Providence,RI,279,State-licensed dealer - Sep 13 push
Allegiance Trucks,Motor Vehicle Dealer (general),,Warwick,RI,533,State-licensed dealer - Sep 13 push
Coastal Auto Sales,Motor Vehicle Dealer (general),,Pawtucket,RI,243,State-licensed dealer - Sep 13 push
Coletta's Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,361,State-licensed dealer - Sep 13 push
"Commercial Motors, LLC",Motor Vehicle Dealer (general),,North Providence,RI,507,State-licensed dealer - Sep 13 push
Copart AUCTION ONLY,Motor Vehicle Dealer (general),,Exeter,RI,36,State-licensed dealer - Sep 13 push
Cousin’s Auto Sales,Motor Vehicle Dealer (general),,Woonsocket,RI,596,State-licensed dealer - Sep 13 push
Cranston Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,370,State-licensed dealer - Sep 13 push
"Cumberland Hill Auto Sales & Service, Inc.",Motor Vehicle Dealer (general),,Cumberland,RI,715,State-licensed dealer - Sep 13 push
Curtis Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,637,State-licensed dealer - Sep 13 push
Custom Motors,Motor Vehicle Dealer (general),,East Providence,RI,213,State-licensed dealer - Sep 13 push
"Cycle Performance And Sales, LLC",Motor Vehicle Dealer (general),,Woonsocket,RI,292,State-licensed dealer - Sep 13 push
"D & J Auto Sales, LLC",Motor Vehicle Dealer (general),,West Warwick,RI,39,State-licensed dealer - Sep 13 push
"D&M Motor Sales, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,535,State-licensed dealer - Sep 13 push
D’Agostino Motors LTD,Motor Vehicle Dealer (general),,Smithfield,RI,383,State-licensed dealer - Sep 13 push
"D’Agostino's Auto Sales and Salvage, Inc.",Motor Vehicle Dealer (general),,North Providence,RI,612,State-licensed dealer - Sep 13 push
"D’Ambra Auto Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,682,State-licensed dealer - Sep 13 push
